Name,Url,Ratings,Reviews,Price
Murano Ascent 29 LTR Laptop Backpack for 15.6 inch Laptop and Nylon Water Resistance Backpack- Red ,https://www.amazon.in/MURANO-Ltrs-Laptop-Backpack-9050035_D/dp/B076YDYT9K/ref=sxin_13_trfobq2a_5_B076YDYT9K?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B076YDYT9K&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-6-b004551b-c118-419d-8e9d-9986d39b90c2,4.0 out of 5 stars,88,"₹1,465"
AmazonBasics Slim Carry On Laptop Travel Weekender Backpack - Green ,https://www.amazon.in/AmazonBasics-Slim-Carry-On-Backpack/dp/B079LMPPKG/ref=sxin_13_trfobq2a_6_B079LMPPKG?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B079LMPPKG&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-7-b004551b-c118-419d-8e9d-9986d39b90c2,4.1 out of 5 stars,223,"₹4,269"
"AmazonBasics Bed-in-a-Bag - Soft, Easy-Wash Microfiber - 8-Piece Full/Queen, Navy Nautical Knot ",https://www.amazon.in/AmazonBasics-8-Piece-Bed-Bag-Microfiber/dp/B07K6L8ZLK/ref=sxin_13_trfobq2a_7_B07K6L8ZLK?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07K6L8ZLK&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-8-b004551b-c118-419d-8e9d-9986d39b90c2,4.1 out of 5 stars,163,"₹3,589"
Miraggio Genevieve Quilted Women's Crossbody bag ,https://www.amazon.in/Miraggio-Genevieve-Quilted-Womens-Crossbody/dp/B09H558YGP/ref=sxin_14?asc_contentid=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B09H558YGP&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=bags&linkCode=oas&pd_rd_i=B09H558YGP&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=oXxPg&pd_rd_wg=5E5FK&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-1-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=ndtvswirlsterosp-21,4.1 out of 5 stars,10,"₹3,199"
Lino Perros Womens Synthetic Leather ,https://www.amazon.in/Lino-Perros-Womens-Synthetic-Leather/dp/B08M425CLH/ref=sxin_14?asc_contentid=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B08M425CLH&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=bags&linkCode=oas&pd_rd_i=B08M425CLH&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=oXxPg&pd_rd_wg=5E5FK&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-2-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=ndtvswirlsterosp-21,3.8 out of 5 stars,168,₹898
sugarcrush Women's Clutch (multidimension_Multicolored) ,https://www.amazon.in/sugarcrush-Womens-Multicolour-Clutch-Detachable/dp/B07C319T8K/ref=sxin_14?asc_contentid=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B07C319T8K&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=bags&linkCode=oas&pd_rd_i=B07C319T8K&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=oXxPg&pd_rd_wg=5E5FK&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-3-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=ndtvswirlsterosp-21,3.8 out of 5 stars,444,₹809
Envias Leatherette Side Sling Bags For Women's Ladies (Green_EVS-122) ,https://www.amazon.in/Envias-Leatherette-Womens-Ladies-Green_EVS-122/dp/B08X67XD78/ref=sxin_14?asc_contentid=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B08X67XD78&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.069164df-eb7f-4fa4-9ee2-375bd72db86b.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=bags&linkCode=oas&pd_rd_i=B08X67XD78&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=oXxPg&pd_rd_wg=5E5FK&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-4-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=ndtvswirlsterosp-21,3.9 out of 5 stars,"1,459",₹499
Genie Flamenco2 Casual Backpacks for Women ,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YF9VHTY&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=xIEbO&pd_rd_wg=5E5FK&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-1-b8003e8c-7dbe-4d7b-b373-a406a41b9947,4.0 out of 5 stars,753,₹649
"Genie Flamenco Laptop Casual Backpacks for Women, 16 inches, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags . Latest Collection (Sky Blue) ",https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YF1XJXY&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=xIEbO&pd_rd_wg=5E5FK&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-2-b8003e8c-7dbe-4d7b-b373-a406a41b9947,4.0 out of 5 stars,662,₹448
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack ,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07K8KLB3P&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=xIEbO&pd_rd_wg=5E5FK&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-3-b8003e8c-7dbe-4d7b-b373-a406a41b9947,4.1 out of 5 stars,"10,597",₹548
